Timestamp,Timestamp (Seconds),Algorithm,Algorithm (human readable),Avg Key Gen Time (ms),Avg Cert Signing Request Time (ms),Avg Cert Gen Time (ms),Avg Cert Verifying Time (ms),
2024-06-03 15:24:12.481078,1717428252.481078,secp 256r1,ECDSA 256r1,4.871690130233764,5.384578657150269,5.732564187049866,5.000117945671081,
2024-06-03 15:28:48.994104,1717428528.994104,secp 384r1,ECDSA 384r1,6.519389438629151,7.30917580127716,7.413142275810242,6.40839068889618,
2024-06-03 15:36:11.161323,1717428971.161323,secp 521r1,ECDSA 521r1,9.370709300041199,13.160789370536804,11.546270394325255,10.137273097038268,
2024-06-03 15:54:09.461377,1717430049.461377,rsa 2048,RSA 2048,83.15966885089874,13.196001720428468,6.708931946754456,4.757718873023987,
2024-06-03 16:12:01.156890,1717431121.15689,rsa 3072,RSA 3072,82.42913331985474,13.212129592895508,6.794026279449462,4.721319413185119,
2024-06-03 16:29:31.436039,1717432171.436039,rsa 4096,RSA 4096,80.57986838817597,12.927337074279786,6.764962315559387,4.751952409744263,
2024-06-03 16:47:26.590341,1717433246.590341,rsa,RSA,83.08037011623382,12.968865656852723,6.72404797077179,4.735221815109253,
2024-06-03 16:50:55.263730,1717433455.26373,dilithium2,Dilithium 2,4.962760281562805,5.420747661590576,5.755740284919739,4.72739610671997,
2024-06-03 16:54:27.739482,1717433667.739482,dilithium3,Dilithium 3,4.988721585273742,5.542150950431823,5.916711807250977,4.799418354034424,
2024-06-03 16:58:03.685907,1717433883.685907,dilithium5,Dilithium 5,5.033632373809814,5.514930295944214,5.924571490287781,5.120963478088379,
2024-06-03 17:03:22.873601,1717434202.873601,falcon512,Falcon 512,16.200543141365053,5.5229088306427006,5.58560311794281,4.608188891410828,
2024-06-03 17:12:09.600189,1717434729.600189,falcon1024,Falcon 1024,35.59874567985535,5.947905945777894,6.046102976799011,5.07611186504364,
2024-06-03 17:20:25.225792,1717435225.225792,SPHINCSSHA2128fsimple,SPHINCS+-SHA2-128f-simple,5.310759711265564,18.502335786819458,19.108744668960572,6.6386237859725945,
2024-06-03 18:24:15.369079,1717439055.369079,SPHINCSSHA2128ssimple,SPHINCS+-SHA2-128s-simple,41.52960078716278,167.21098906993868,169.0158371210098,5.238585662841797,
2024-06-03 18:36:36.629303,1717439796.629303,SPHINCSSHA2192fsimple,SPHINCS+-SHA2-192f-simple,5.5256019830703735,28.613264465332033,31.123482847213744,8.86063780784607,
